ID,name,Centroid X,Centroid Y
276,Tougo,-2.160996543,13.20201796
277,Boudri,-0.75601632,12.05267581
278,Kogho,-0.70561989,12.63151626
279,Mégué,-0.70258714,12.40625861
280,Môgtédo,-0.965364458,12.20482523
281,Saolgo,-0.69475756,12.49835217
282,Zam,-0.928929247,12.38944477
283,Zôrgho,-0.587143091,12.24371529
284,Zoungou,-0.522150432,12.09458228
285,Boussé,-1.757393656,12.67295117
286,Laye,-1.772981661,12.54902691
287,Niou,-1.84599967,12.79909893
288,Sourgoubila,-1.897807132,12.40671132
289,Toèguen,-1.706070061,12.78417601
290,Ambsouya,-0.993620893,12.58363954
291,Dapeolgo,-1.562513978,12.72969165
292,Loumbila,-1.412298835,12.54417696
293,Nagréongo,-1.153049995,12.42357582
294,Ourgou-Manéga,-1.494053764,12.82156063
295,Ziniaré,-1.262207682,12.61573177
296,Zitenga,-1.276659666,12.74127838
297,Déou,-0.719562137,14.69578969
298,Gorom-Gorom,-0.256172219,14.39862584
299,Markoye,0.052918442,14.65695406
300,Oursi,-0.438355986,14.69097337
301,Tin-Akoff,-0.317173852,14.93340372
302,Bani,-0.155778394,13.71704547
303,Dori,-0.046548473,14.02204397
304,Falagountou,0.16713416,14.31211322
305,Gorgadji,-0.457647833,13.9873131
306,Sampelga,0.265732109,13.77570386
307,Seytenga,0.341549282,13.98672379
308,Arbinda,-0.847315599,14.16648843
309,Baraboulé,-1.883212499,14.17308243
310,Diguel,-1.869134721,14.38687707
311,Djibo,-1.620940975,14.13132582
312,Kelbo,-1.170640269,13.86005056
313,Koutougou,-1.048221507,14.56706335
314,Nassoumbou,-1.472027853,14.46987721
315,Pobé-Mengao,-1.767274129,13.91996671
316,Tongomayel,-1.314942789,14.07659452
317,Boundoré,0.967035429,13.37907608
318,Mansila,0.681480827,13.14802157
319,Sebba,0.572986325,13.43593767
320,Solhan,0.33872308,13.37397641
321,Tankougounadié,0.717220117,13.570517
322,Titabè,0.35488788,13.65114693
323,Gbondjigui,-3.541213836,10.95644883
324,Diébougou,-3.26113534,10.92800906
325,Dolo,-3.407192164,10.87825925
326,Iôlôniôrô,-3.527419003,10.73391806
327,Tiankoura,-3.237259172,10.72406416
328,Dano,-3.011874442,11.15383427
329,Dissihn,-2.963070102,10.93341524
330,Guéguéré,-3.252905551,11.12335078
331,Koper,-2.881386888,11.11326485
332,Niégo,-2.674005687,11.12945807
333,Oronkua,-3.147356748,11.28213653
334,Ouéssa,-2.759247814,11.06680874
335,Zambo,-3.033693004,10.83170178
336,Batié,-2.911541838,9.895345623
337,Boussou-Koula,-3.065673574,9.816835482
338,Kpuéré,-2.821105854,9.581482564
339,Legmoin,-2.879604175,10.11735956
340,Midebdo,-3.174120511,10.0464788
341,Bouroum-Bouroum,-3.258435114,10.52478072
342,Bousséra,-2.949773351,10.36518964
343,Djigouè,-3.824378369,10.01610144
344,Gaoua,-3.203837512,10.3477741
345,Gbomblora,-2.97598327,10.20931574
346,Kampti,-3.455023706,10.06284639
347,Loropéni,-3.556364524,10.42570295
348,Malba,-3.004474894,10.47449946
349,Nako,-3.04928758,10.61319614
350,Périgban,-3.338689956,10.21035732
